Sim1,Sim2,Sim3,Sim4,Sim5,Radius,TotalRunTime
7688,7470,13980,13094,17136,100,0.08
189451,145235,94037,186057,373031,500,1.17
611545,579209,1334251,1478028,2334690,1000,7.28
9921085,15124693,14833221,19573237,33805308,5000,106.02
32493012,58198542,129367300,194225742,258949034,10000,883.68
