Sim1,Sim2,Sim3,Sim4,Sim5,Radius,TotalRunTime
5047,25700,3817,7645,2793,100,0.00
219797,427344,146464,486924,148838,500,0.07
1255385,1142751,550514,1468851,342859,1000,0.25
61074843,132839077,46185972,28631201,74962284,5000,18.17
101118564,154265868,72620543,228646910,349329207,10000,34.14
